germanphrase,russiantranslation
die Motorhaube,капот
die Kühlflüssigkeit,охлаждающая жидкость
der Motor,мотор
das Öl,масло
der Ölstand,уровень масла
der Ölstab,щуп для масла
die Scheibenwaschanlage,бачок стеклоомывателя
die Batterie,аккумулятор
der Tankdeckel,крышка бензобака
die Hupe,звуковой сигнал
Handbremse,ручной тормоз
Ladekontrolllampe,индикатор аккумулятора
Motorkontrollleuchte,индикатор неисправности двигателя
Anschnallleuchte,индикатор ремня безопасности
Öffnen Sie bitte die Motorhaube.,Откройте капот.
Zeigen Sie mir den Motorraum.,Покажите моторный отсек.
Wo befindet sich die Motorhaube?,Где находится капот?
Die Motorhaube ist vorne. Ich ziehe den Hebel im Auto und öffne sie von außen.,Die Motorhaube ist vorne. Ich ziehe den Hebel im Auto und öffne sie von außen. (перевод)
Kontrollieren Sie bitte den Ölstand.,Проверьте уровень масла.
Ziehen Sie den Ölstab heraus.,Достаньте щуп для масла.
Wie prüfen Sie das Öl?,Как проверяете масло?
"Ich ziehe den Ölstab raus, wische ihn ab, stecke ihn wieder ein und ziehe ihn nochmal raus. Dann schaue ich zwischen Min und Max.","Ich ziehe den Ölstab raus, wische ihn ab, stecke ihn wieder ein und ziehe ihn nochmal raus. Dann schaue ich zwischen Min und Max. (перевод)"
Wo kontrolliert man die Kühlflüssigkeit?,Где проверяют охлаждающую жидкость?
Wie kontrolliert man die Kühlflüssigkeit?,Как проверить уровень охлаждающей жидкости?
Zeigen Sie den Behälter für Kühlflüssigkeit.,Покажите бачок для охлаждающей жидкости.
"Der Behälter ist vorne im Motorraum. Ich schaue, ob die Flüssigkeit zwischen Min und Max ist.","Der Behälter ist vorne im Motorraum. Ich schaue, ob die Flüssigkeit zwischen Min und Max ist. (перевод)"
Wo befindet sich die Scheibenwaschanlage?,Где находится бачок стеклоомывателя?
Kontrollieren Sie bitte die Scheibenwaschanlage.,Проверьте уровень жидкости омывателя.
"Der Behälter ist durchsichtig. Ich sehe, ob genug Flüssigkeit drin ist.","Der Behälter ist durchsichtig. Ich sehe, ob genug Flüssigkeit drin ist. (перевод)"
Wo befindet sich die Batterie?,Где аккумулятор?
Zeigen Sie bitte die Batterie.,Покажите аккумулятор.
Die Batterie ist im Motorraum. Groß mit Plus- und Minuspolen.,Die Batterie ist im Motorraum. Groß mit Plus- und Minuspolen. (перевод)
Öffnen Sie den Tankdeckel.,Откройте крышку бензобака.
Wo ist der Tankdeckel?,Где крышка бензобака?
"Der Tankdeckel ist hinten, links oder rechts am Auto.","Der Tankdeckel ist hinten, links oder rechts am Auto. (перевод)"
Betätigen Sie die Hupe.,Нажмите на клаксон.
Zeigen Sie die Hupe.,"Покажите, где находится клаксон."
Ich drücke auf die Mitte vom Lenkrad.,Ich drücke auf die Mitte vom Lenkrad. (перевод)
Ziehen Sie bitte die Handbremse an.,Поднимите ручной тормоз.
Lösen Sie die Handbremse.,Отпустите ручной тормоз.
Wie funktioniert die Handbremse?,Как работает ручной тормоз?
Ich ziehe sie hoch. Zum Lösen drücke ich den Knopf und senke sie.,Ich ziehe sie hoch. Zum Lösen drücke ich den Knopf und senke sie. (перевод)
Was zeigt die Ladekontrolllampe an?,Что показывает индикатор аккумулятора?
"Was machen Sie, wenn die Lampe leuchtet?","Что вы делаете, если загорится лампа заряда?"
Die Batterie wird nicht geladen. Ich fahre zur Werkstatt.,Die Batterie wird nicht geladen. Ich fahre zur Werkstatt. (перевод)
Was zeigt die Motorkontrollleuchte?,Что показывает индикатор двигателя?
"Was machen Sie, wenn die Lampe leuchtet?","Что делать, если горит лампа двигателя?"
Ich fahre vorsichtig und suche eine Werkstatt.,Ich fahre vorsichtig und suche eine Werkstatt. (перевод)
Was zeigt die Anschnallleuchte an?,Что показывает индикатор ремня?
Warum leuchtet die Anschnallleuchte?,Почему горит индикатор ремня?
Ich muss den Sicherheitsgurt anlegen.,Ich muss den Sicherheitsgurt anlegen. (перевод)
