germanphrase,russiantranslation
Reifenprofiltiefe,глубина протектора
Luftdruck,давление воздуха
Beschädigungen,повреждения
Fremdkörper,инородные тела
Reifengröße,размер шин
Wie prüfen Sie die Reifenprofiltiefe?,Как вы проверяете глубину протектора?
Wie tief muss das Profil mindestens sein?,Какой минимальной должна быть глубина протектора?
Kontrollieren Sie bitte die Reifenprofiltiefe.,Проверьте глубину протектора.
"Ich benutze eine Profiltiefenlehre oder schaue auf die Verschleißanzeiger. Die Mindesttiefe ist 1,6 Millimeter.","Я использую измеритель глубины или смотрю на индикаторы износа. Минимальная глубина — 1,6 миллиметра."
Wie prüfen Sie den Luftdruck?,Как вы проверяете давление в шинах?
Wo finden Sie den richtigen Luftdruck?,Где можно найти правильное давление?
Kontrollieren Sie bitte den Luftdruck.,Проверьте давление в шинах.
Ich messe den Luftdruck mit einem Manometer. Die Angaben finde ich in der Tür oder im Handbuch., Я измеряю давление с помощью манометра. Правильные значения указаны на двери или в инструкции.
Was kontrollieren Sie bei den Reifen auf Beschädigungen?,Что вы проверяете на шинах на наличие повреждений?
Welche Schäden können Reifen haben?,Какие повреждения могут быть на шинах?
"Ich prüfe auf Risse, Beulen oder Schnitte. Der Reifen muss unbeschädigt sein.","Я проверяю на трещины, вздутия или порезы. Шина должна быть без повреждений."
Was ist bei Fremdkörpern im Reifenprofil zu beachten?,"Что делать, если в протекторе инородные тела?"
Kontrollieren Sie die Reifen auf Fremdkörper.,Проверьте шины на наличие посторонних предметов.
"Ich schaue, ob Steine oder Nägel im Profil sind. Wenn ja, muss der Reifen überprüft werden.","Я проверяю, есть ли камни или гвозди в протекторе. Если да — шину нужно осмотреть."
Wo findet man die Reifengröße?,Где указан размер шин?
Welche Reifengröße braucht Ihr Auto?,Какой размер шин подходит для вашей машины?
Die Reifengröße steht auf der Reifenflanke oder im Fahrzeugbrief.,Размер шин написан на боковой поверхности шины или в техпаспорте автомобиля.
