germanphrase,russiantranslation
links,налево
rechts,направо
geradeaus,прямо
die nächste Ampel rechts,на следующем светофоре направо
die nächste Ampel links,на следующем светофоре налево
die nächste Straße links,следующую улицу налево
bei der nächsten Möglichkeit links,при следующей возможности налево
an der Kreuzung,на перекрёстке
an der zweiten Kreuzung,на втором перекрёстке
Fahrstreifenwechsel,смена полосы
wir fahren Richtung,мы едем в направлении
auf die Autobahn,на автобан
die Richtung,направление
die Einbahnstraße,улица с односторонним движением
die Sackgasse,тупик
parken vorwärts,парковка передом
parken rückwärts, задом
die Gefahrenbremsung,экстренное торможение
an der nächsten Ausfahrt Autobahn verlassen,съехать с автобана на следующем выезде
eine Möglichkeit zum Wenden,место для разворота
der Parkplatz,парковка
Busparkplatz, парковка для автобуса
der Kreisverkehr,круговое движение
der abknickenden Vorfahrtsstraße folgen,"следовать по главной, которая поворачивает"
bitte stehen bleiben,остановитесь
wenden ,развернуться
umkehren ,развернуться
einbiegen,повернуть (въехать)
Einfahrt,въезд
Ausfahrt,выезд
Biegen Sie an der Kreuzung links ab.,Поверните налево на перекрёстке.
Fahren Sie an der nächsten Straße links.,Поверните налево на следующей улице.
Bitte links einbiegen.,Поверните налево.
Biegen Sie an der Ampel rechts ab.,Поверните направо на светофоре.
Nehmen Sie die nächste Straße rechts.,Поверните направо на следующей улице.
Bitte jetzt rechts fahren.,Сейчас поверните направо.
Fahren Sie bitte geradeaus weiter.,Продолжайте ехать прямо.
An der Kreuzung geradeaus fahren.,На перекрёстке езжайте прямо.
Bleiben Sie auf dieser Straße.,Оставайтесь на этой улице.
An der nächsten Ampel bitte rechts abbiegen.,На следующем светофоре — направо.
An der nächsten Ampel links abbiegen.,На следующем светофоре — налево.
Die nächste Straße bitte links.,Поверните налево на следующей улице.
Die nächste Straße rechts nehmen.,Следующую улицу — направо.
Bei der nächsten Möglichkeit bitte rechts.,При следующей возможности — направо.
Fahren Sie bei nächster Gelegenheit links.,Поверните налево при следующем удобном моменте.
Wenn möglich rechts abbiegen.,Если возможно — направо.
An der Kreuzung bitte links.,На перекрёстке — налево.
An der zweiten Kreuzung rechts abbiegen.,На втором перекрёстке — направо.
Wir fahren Richtung Zentrum.,Мы едем в сторону центра.
Jetzt Richtung Stuttgart.,Сейчас в сторону Штутгарта.
Bleiben Sie in Richtung Autobahn.,Оставайтесь в направлении автобана.
Fahren Sie bitte auf die Autobahn.,Въезжайте на автобан.
Jetzt auf die A8.,Сейчас на трассу A8.
An der Auffahrt Autobahn nehmen.,Используйте съезд на автобан.
Fahren Sie in die Einbahnstraße.,Едьте на улицу с односторонним движением.
Diese Straße ist Einbahnstraße bitte weiterfahren.,Это односторонняя — продолжайте.
Beachten Sie das Schild "Einbahnstraße".",Обратите внимание на знак «Einbahnstraße».
Hier ist eine Sackgasse.,Это тупик.
Fahren Sie in die Sackgasse.,Едьте в тупик.
Achtung Sackgasse. Bitte wenden.","Внимание, тупик. Развернитесь."
Parken Sie bitte rückwärts ein.,Запаркуйтесь задом.
Jetzt vorwärts einparken.,Теперь — парковка передом.
Bitte rückwärts in die Parklücke.,Задом в парковочное место.
Führen Sie jetzt eine Gefahrenbremsung durch.,Сделайте сейчас экстренное торможение.
Jetzt bitte voll bremsen.,Теперь сильно тормозите.
Notbremsung — jetzt!,Экстренное торможение — сейчас!
Bitte hier wenden.,Развернитесь здесь.
Können Sie umkehren?,Можете развернуться?
Jetzt bitte drehen.,Сейчас разворот.
