germanphrase,russiantranslation
das Standlicht,стояночный свет
das Abblendlicht,ближний свет
das Fahrlicht,свет для движения
das Fernlicht,дальний свет
die Warnblinkanlage,аварийная сигнализация
der Nebelscheinwerfer (vorn),передние противотуманные фары
die Nebelschlussleuchte,задняя противотуманная фара
die Schlussleuchte,габаритные огни
das Bremslicht,стоп-сигнал
der Blinker,поворотник
der Rückfahrscheinwerfer,фонарь заднего хода
der Rückstrahler,отражатель
die Kennzeichenbeleuchtung,подсветка номерного знака
die Armaturenbrettbeleuchtung,подсветка панели приборов
Schalten Sie bitte das Standlicht ein.,Включите стояночный свет.
Wann benutzt man das Standlicht?,Когда используется стояночный свет?
"Ich benutze das Standlicht, wenn ich das Auto parke und es dunkel ist.",Я использую стояночный свет при парковке в тёмное время.
Schalten Sie das Abblendlicht ein.,Включите ближний свет.
Wann benutzen Sie das Abblendlicht?,Когда используется ближний свет?
"Ich benutze es bei Dunkelheit, Regen oder Tunnel.","Я включаю его в темноте, при дожде или в туннеле."
Was ist das Fahrlicht?,Что такое Fahrlicht?
Wann benutzen Sie Fahrlicht?,Когда используется Fahrlicht?
Fahrlicht bedeutet Abblendlicht während der Fahrt.,Свет для движения — это ближний свет во время езды.
Schalten Sie das Fernlicht ein.,Включите дальний свет.
Wann dürfen Sie Fernlicht benutzen?,Когда можно использовать дальний свет?
Auf Landstraßen ohne Gegenverkehr. Ich schalte es bei Gegenverkehr aus.,На загородных дорогах без встречного движения. При встречном выключаю.
Schalten Sie bitte die Warnblinkanlage ein.,Включите аварийку.
Wann benutzen Sie die Warnblinkanlage?,Когда включаете аварийную сигнализацию?
Bei Pannen oder bei Gefahr.,При поломке или опасности.
Wann benutzen Sie die Nebelscheinwerfer?,Когда использовать передние противотуманки?
"Bei Nebel, starkem Regen oder Schneefall.","При тумане, сильном дожде или снегопаде."
Wann schalten Sie die Nebelschlussleuchte ein?,Когда включаете заднюю противотуманную фару?
Nur bei sehr dichtem Nebel unter 50 Metern Sichtweite.,"Только при густом тумане, если видимость меньше 50 метров."
Was ist die Schlussleuchte?,Что такое Schlussleuchte?
"Das sind rote Lichter hinten, wenn das Licht eingeschaltet ist.","Это красные фонари сзади, когда включен свет."
Wie prüfen Sie das Bremslicht?,Как проверить стоп-сигналы?
"Ich drücke die Bremse und jemand schaut hinten, ob das Licht brennt.","Я нажимаю на тормоз, кто-то проверяет сзади, горит ли свет."
Setzen Sie bitte den linken Blinker.,Включите левый поворотник.
Wann benutzen Sie den Blinker?,Когда использовать поворотники?
"Beim Abbiegen, Spurwechsel oder Verlassen eines Kreisverkehrs.","При повороте, перестроении или съезде с кольца."
Wann leuchtet der Rückfahrscheinwerfer?,Когда загорается задний фонарь?
Wenn ich den Rückwärtsgang einlege.,Когда включаю заднюю передачу.
Was ist der Rückstrahler?,Что такое Rückstrahler?
"Er reflektiert Licht und macht das Auto sichtbar, wenn es dunkel ist.",Он отражает свет и делает машину видимой в темноте.
Wozu dient die Kennzeichenbeleuchtung?,Для чего нужна подсветка номерного знака?
Damit das Kennzeichen nachts lesbar ist.,Чтобы номерной знак был виден ночью.
Wann leuchtet die Armaturenbrettbeleuchtung?,Когда загорается подсветка панели приборов?
Wenn ich das Licht einschalte.,Когда я включаю свет.
